PKLT_CD,PKLT_NM,ADDR,PKLT_TYPE,PRK_TYPE_NM,OPER_SE,OPER_SE_NM,TELNO,PRK_STTS_YN,PRK_STTS_NM,TPKCT,NOW_PRK_VHCL_CNT,NOW_PRK_VHCL_UPDT_TM,PAY_YN,PAY_YN_NM,NGHT_PAY_YN,NGHT_PAY_YN_NM,WD_OPER_BGNG_TM,WD_OPER_END_TM,WE_OPER_BGNG_TM,WE_OPER_END_TM,LHLDY_OPER_BGNG_TM,LHLDY_OPER_END_TM,SAT_CHGD_FREE_SE,SAT_CHGD_FREE_NM,LHLDY_CHGD_FREE_SE,LHLDY_CHGD_FREE_SE_NAME,PRD_AMT,STRT_PKLT_MNG_NO,BSC_PRK_CRG,BSC_PRK_HR,ADD_PRK_CRG,ADD_PRK_HR,BUS_BSC_PRK_CRG,BUS_BSC_PRK_HR,BUS_ADD_PRK_HR,BUS_ADD_PRK_CRG,DAY_MAX_CRG,SHRN_PKLT_MNG_NM,SHRN_PKLT_MNG_URL,SHRN_PKLT_YN,SHRN_PKLT_ETC
1452264,창의문로 관광버스 주차허용 구간(시),종로구 청운동 15-57 (벽산빌리지 9동 앞 ~ 청운중학교 100m 앞),NS,노상 주차장,4,버스전용 주차장,02-2133-2357,0,미연계중,1.0,0.0,,N,무료,N,야간 미개방,0000,0000,0000,0000,0000,0000,Y,유료,Y,유료,0,1111010100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1452323,사직로1 관광버스 주차허용 구간(시),종로구 내자동 35-0 내자동 54(치과의원) ~ 필운동 227(금고 앞),NS,노상 주차장,4,버스전용 주차장,02)2133-2357,0,미연계중,1.0,0.0,,N,무료,N,야간 미개방,0000,0000,0000,0000,0000,0000,Y,유료,Y,유료,0,1111011400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1452337,관철동 공영주차장(시),종로구 관철동 13-14,NS,노상 주차장,1,시간제 주차장,02-738-0909,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,3.0,2025-06-02 16:56:36,Y,유료,N,야간 미개방,0900,2200,0900,1400,0000,0000,N,무료,Y,유료,0,1111013500002,430.0,5.0,430.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1452441,청계6(북) 공영주차장(시),종로구 종로6가 289-49,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,4.0,2025-06-02 16:56:35,Y,유료,N,야간 미개방,0900,0100,0900,1500,0000,0000,N,무료,Y,유료,0,1111016400024,450.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1452721,청계2(북1) 공영주차장(시),종로구 관수동 91-4,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,5.0,2025-06-02 16:56:33,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1111015500002,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1452740,창경궁로1 관광버스 주차허용 구간(시),종로구 와룡동 2-86 (창경궁주차장~홍화문),NS,노상 주차장,4,버스전용 주차장,02)2133-2357,0,미연계중,1.0,0.0,,N,무료,N,야간 미개방,0000,0000,0000,0000,0000,0000,Y,유료,Y,유료,0,1111013000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1452743,사직로2 관광버스 주차허용 구간(시),종로구 내자동 131-0 내자동136(사직이용원) ~ 내자동75-4(가로등),NS,노상 주차장,4,버스전용 주차장,02)2133-2357,0,미연계중,1.0,0.0,,N,무료,N,야간 미개방,0000,0000,0000,0000,0000,0000,Y,유료,Y,유료,0,1111011400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1453742,당고개위 공영주차장(시),노원구 상계동 111-568,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,6.0,2025-06-02 16:56:31,Y,유료,N,야간 미개방,0900,2200,0900,2200,0900,2200,N,무료,N,무료,0,1135010500056,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1475224,성내역(잠실나루역) 공영주차장(시),송파구 신천동 11-1,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,19.0,2025-06-02 16:55:59,Y,유료,N,야간 미개방,0900,1800,0900,1500,0000,0000,N,무료,Y,유료,,1171010200007,250.0,5.0,250.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1477337,동작대교(위) 공영주차장(시),동작구 동작동 316-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,10.0,2025-06-02 16:56:37,Y,유료,N,야간 미개방,1300,2200,1300,2200,1300,2200,N,무료,N,무료,0,1159010600002,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
